Name,Team,Iso-freq,iso-pts,tra-freq,tra-pts,p&rh-freq,p&rh-pts,p&rr-pts,p&rr-pts,postup-freq,postup-pts,spotup-freq,spotup-pts,handoff-freq,handoff-pts,cut-freq,cut-pts
Nikola Vucevic,ORL,0,0,0.073,1.15,0,0,0.271,1.11,0.198,0.82,0.16,0.93,0,0,0.134,1.33
Josh Hart,NOP,0,0,0.322,1.1,0.052,0.59,0,0,0,0,0.424,1,0.04,0.54,0.015,1.8
Davis Bertans,WAS,0,0,0.231,1.36,0.31,0.59,0.055,1.05,0,0,0.314,1.21,0.067,0.9,0.048,1.32
D.J. Augustin,ORL,0.061,0.6,0.105,1,0.538,0.94,0,0,0,0,0.141,1.14,0.056,1.03,0.016,1
Josh Richardson,PHI,0.032,1.12,0.12,0.98,0.303,0.85,0,0,0,0,0.225,0.93,0.118,0.88,0.029,1.13
Tyler Herro,MIA,0.034,0.69,0.12,1.09,0.303,0.71,0,0,0,0,0.174,1.31,0.161,0.98,0.034,1
Rajon Rondo,LAL,0.091,0.78,0.182,0.93,0.416,0.78,0,0,0,0,0.182,0.85,0,0,0,0
Victor Oladipo,IND,0.094,0.53,0.175,1.09,0.425,0.85,0,0,0,0,0.109,0.77,0.069,0.96,0,0
Jarrett Culver,MIN,0.061,0.7,0.161,0.81,0.208,0.78,0,0,0,0,0.247,0.69,0.103,0.93,0.066,1.2
Reggie Jackson,LAC,0.068,0.63,0.136,1,0.462,0.83,0,0,0,0,0.242,1.45,0.059,1.36,0,0
Patrick Beverly,LAC,0.056,0.88,0.12,1.1,0.204,0.85,0,0,0,0,0.441,1.12,0,0,0,0
Draymond Green,GSW,0.031,0.71,0.149,0.88,0.084,0.61,0.084,0.76,0.089,0.65,0.311,0.79,0.022,0.6,0.073,1
Domantas Sabonis,IND,0.01,0.5,0.063,1.06,0,0,0.303,1.11,0.171,0.91,0.106,0.84,0,0,0.154,1.19
Rudy Gobert,UTA,0,0,0.075,1.32,0,0,0.274,1.22,0.043,0.95,0,0,0,0,0.274,1.43
Hassan Whiteside,POR,0.016,0.53,0.024,1.59,0,0,0.274,1.22,0.118,0.97,0.029,1.07,0,0,0.208,1.35
Jarrett Allen,BKN,0,0,0.251,1.04,0,0,0.293,1.37,0,0,0.016,0.2,0,0,0.266,1.29
Maxi Kleber,DAL,0,0,0.075,1.22,0,0,0.257,1.45,0,0,0.419,0.97,0,0,0.081,1.38
Jonas Valanciunas,MEM,0.024,0.83,0.063,1.39,0,0,0.186,1.25,0.235,0.97,0.086,0.93,0,0,0.139,1.28
LaMarcus Aldridge,SAS,0.022,0.71,0.042,1.43,0,0,0.221,1.01,0.322,0.97,0.161,1.05,0,0,0.07,1.33
Myles Turner,IND,0,0,0.062,0.85,0,0,0.267,1.04,0.148,0.94,0.258,1.07,0,0,0.094,1.2
Steven Adams,OKC,0.022,0.8,0.061,1.17,0,0,0.225,1.29,0.233,0.89,0,0,0,0,0.148,1.21
Mitchell Robinson,NYK,0,0,0.092,1.54,0,0,0.26,1.66,0,0,0,0,0,0,0.202,1.41
Thomas Bryant,WAS,0,0,0.141,1.33,0,0,0.285,1.24,0.054,0.71,0.15,1.18,0,0,0.152,1.43
Daniel Theis,BOS,0,0,0.07,1.49,0,0,0.275,1.17,0,0,0.145,0.94,0,0,0.245,1.32
Brook Lopez,MIL,0.02,0.88,0.13,0.92,0,0,0.155,1.21,0.177,1.05,0.282,0.93,0.036,0.76,0.079,1.3
Deandre Ayton,PHO,0,0,0.077,1.43,0,0,0.183,1.16,0.222,0.78,0.058,0.9,0,0,0.203,1.21
Ivica Zubac,LAC,0,0,0.096,1.57,0,0,0.227,1.19,0.066,0.91,0.025,1.23,0,0,0.219,1.3
Aron Baynes,PHO,0,0,0.051,1.21,0,0,0.263,1.14,0.09,1.17,0.206,1.04,0,0,0.122,1.25
P.J. Washington,CHA,0.031,0.87,0.106,1.2,0,0,0.19,0.98,0.148,0.84,0.332,0.91,0,0,0.082,1.23
Derrick Favors,NOP,0,0,0.067,1.43,0,0,0.278,1.15,0.043,0.94,0.031,0.54,0,0,0.278,1.24
Marc Gasol,TOR,0,0,0.128,1.2,0,0,0.267,0.9,0.128,0.87,0.242,1.13,0,0,0.064,0.96
Dario Saric,PHO,0.023,0.75,0.114,1.09,0.028,1.37,0.107,1.16,0.097,1.05,0.309,0.94,0.018,1.17,0.138,1.11
Kelly Olynyk,MIA,0,0,0.128,1.2,0,0,0.134,1.06,0.043,0.96,0.339,1.14,0.072,0.95,0.082,1.38
Javale McGee,LAL,0.028,0.55,0.104,1.24,0,0,0.116,1.33,0.073,0.62,0.038,0.93,0,0,0.339,1.43
JaMychal Green,LAC,0,0,0.118,1.08,0,0,0.152,1.03,0.062,0.7,0.388,1.1,0,0,0.069,0.93
Paul Millsap,DEN,0.063,0.78,0.141,1.21,0.025,0.93,0.065,1.22,0.153,0.86,0.204,1.2,0,0,0.144,1.18
Marvin Bagley,SAC,0.095,0.68,0.126,1.24,0,0,0.191,1.13,0.136,0.59,0.121,0.63,0,0,0.131,1
P.J. Tucker,HOU,0,0,0.108,1.02,0,0,0.075,0.85,0,0,0.575,1.01,0,0,0.073,1.16
Dwight Howard,LAL,0,0,0.055,1.36,0,0,0.088,1.3,0.114,1,0,0,0,0,0.276,1.4
Michael Porter jr.,DEN,0.047,1.14,0.188,1.15,0.045,0.48,0,0,0.028,1.08,0.207,1.19,0.08,0.92,0.147,1.49
Lonzo Ball,NOP,0.036,0.52,0.187,0.9,0.264,0.58,0,0,0,0,0.311,0.99,0.04,0.97,0.022,1.1
Landry Shamet,LAC,0,0,0.157,0.71,0.148,0.86,0.028,1.92,0,0,0.338,1.3,0.065,0.67,0,0
