player,team,iso_freq,tra_freq,prh_freq,prr_freq,postup_freq,spotup_freq,handoff_freq,cut_freq,iso_pts,tra_pts,prh_pts,prr_pts,postup_pts,spotup_pts,handoff_pts,cut_pts,on_ball_creation,off_ball_finishing,transition_impact,iso_impact,prh_impact,spotup_impact,overall_efficiency,play_diversity,pca1,pca2,cluster_kmeans,cluster_dbscan,cluster_kmodes,archetype
Will Barton,DEN,0.064,0.218,0.295,0.0,0.0,0.183,0.067,0.052,0.81,0.98,0.82,0.0,0.0,1.22,0.97,1.7,0.426,0.235,0.21364,0.051840000000000004,0.24189999999999998,0.22326,1.0057224106874603,6.0,0.7227522826554846,-0.7533381865015296,0,4,0,⚡ Iso Creator / Star Guard
Kevin Love,CLE,0.052,0.093,0.024,0.111,0.213,0.196,0.057,0.042,0.86,0.96,0.52,1.38,0.94,1.15,0.94,1.23,0.346,0.34900000000000003,0.08928,0.044719999999999996,0.012480000000000002,0.2254,1.053959389525432,6.0,-1.668137244877813,3.762238906150017,2,-1,0,✂️ Off-Ball Cutter / Finisher
T.J. Warren,IND,0.044,0.201,0.183,0.0,0.029,0.218,0.056,0.089,0.84,1.32,0.91,0.0,0.74,1.14,1.14,1.45,0.312,0.307,0.26532000000000006,0.03696,0.16653,0.24852,1.1361951205656158,5.0,-1.4168336776964379,0.1699238429440775,1,14,0,🎯 Spot-Up 3PT Shooter
Marcus Smart,BOS,0.062,0.17,0.248,0.022,0.038,0.268,0.038,0.032,0.81,0.96,1.01,1.05,0.88,0.88,0.94,1.15,0.38599999999999995,0.32200000000000006,0.1632,0.05022,0.25048,0.23584000000000002,0.9439635524556222,4.0,0.03907157000273021,0.1726015734023877,0,-1,0,⚡ Iso Creator / Star Guard
Darius Garland,CLE,0.065,0.117,0.416,0.0,0.0,0.188,0.097,0.011,0.75,0.92,0.76,0.0,0.0,0.95,0.98,0.91,0.578,0.199,0.10764000000000001,0.04875,0.31616,0.17859999999999998,0.8458836679576246,5.0,2.793133993725322,-2.039425783584907,0,-1,2,⚡ Iso Creator / Star Guard
OG Anunoby,TOR,0.026,0.246,0.048,0.025,0.051,0.349,0.022,0.108,0.56,1.27,0.88,1.12,0.66,1.05,1.0,1.15,0.147,0.482,0.31242,0.01456,0.04224,0.36645,1.0783199987676344,4.0,-4.867288176630746,-0.13552526556618982,1,-1,1,🎯 Spot-Up 3PT Shooter
RJ Barrett,NYK,0.065,0.209,0.277,0.0,0.037,0.193,0.069,0.042,0.67,0.94,0.68,0.0,0.97,0.97,0.72,1.1,0.448,0.23500000000000001,0.19645999999999997,0.043550000000000005,0.18836000000000003,0.18721,0.8378363219306766,5.0,0.6053030844985929,-1.0317995174781565,0,4,0,⚡ Iso Creator / Star Guard
Aaron Gordon,ORL,0.055,0.166,0.136,0.026,0.147,0.158,0.058,0.084,0.76,1.13,0.65,1.24,0.94,0.9,0.61,1.54,0.39599999999999996,0.268,0.18758,0.041800000000000004,0.0884,0.1422,0.957999998845783,7.0,-0.8901401282380923,2.8041996520190664,2,-1,0,✂️ Off-Ball Cutter / Finisher
T.J. McConnell,IND,0.049,0.193,0.454,0.0,0.0,0.115,0.03,0.049,1.5,1.0,0.86,0.0,0.0,0.8,0.75,1.08,0.533,0.164,0.193,0.07350000000000001,0.39044,0.09200000000000001,0.9262471899705088,3.0,2.8952512810513418,-1.6876794148091339,0,-1,2,⚡ Iso Creator / Star Guard
Kendrick Nunn,MIA,0.05,0.147,0.337,0.0,0.0,0.18,0.115,0.041,0.74,1.03,0.92,0.0,0.0,0.98,1.0,1.25,0.502,0.221,0.15141,0.037,0.31004000000000004,0.1764,0.9667816080841591,4.0,1.7141610325960384,-1.8165125749559048,0,6,0,⚡ Iso Creator / Star Guard
